municipio;grafia_original;grafia_adotada;freq_original;freq_adotada;regra
Sumaré;JD MARIA ANTONIA;JARDIM MARIA ANTONIA;;;abreviatura
Sumaré;JD PRIMAVERA;JARDIM PRIMAVERA;;;abreviatura
Bom Despacho;STA EFIGENIA;SANTA EFIGENIA;;;abreviatura
Varginha;JD PETROPOLIS;JARDIM PETROPOLIS;;;abreviatura
Varginha;PQ MARIELA;PARQUE MARIELA;;;abreviatura
Cuiabá;JD CUIABA;JARDIM CUIABA;;;abreviatura
Cuiabá;JD FLORIANOPOLIS;JARDIM FLORIANOPOLIS;;;abreviatura
Cuiabá;JD IMPERIAL;JARDIM IMPERIAL;;;abreviatura
Cuiabá;JD LEBLON;JARDIM LEBLON;;;abreviatura
Cuiabá;JD MARIANA;JARDIM MARIANA;;;abreviatura
Cuiabá;JD SANTA AMALIA;JARDIM SANTA AMALIA;;;abreviatura
Cuiabá;JD VITORIA;JARDIM VITORIA;;;abreviatura
São José do Rio Preto;JD SANTO ANTONIO;JARDIM SANTO ANTONIO;;;abreviatura
São José do Rio Preto;PQ INDUSTRIAL;PARQUE INDUSTRIAL;;;abreviatura
Tanguá;VL CORTES;VILA CORTES;;;abreviatura
Belo Horizonte;STA EFIGENIA;SANTA EFIGENIA;;;abreviatura
São Paulo;CID VARGAS;CIDADE VARGAS;;;abreviatura
São Paulo;JD APURA;JARDIM APURA;;;abreviatura
São Paulo;JD BRASILIA;JARDIM BRASILIA;;;abreviatura
São Paulo;JD DA CONQUISTA;JARDIM DA CONQUISTA;;;abreviatura
São Paulo;JD DOM BOSCO;JARDIM DOM BOSCO;;;abreviatura
São Paulo;JD GUAIRACA;JARDIM GUAIRACA;;;abreviatura
São Paulo;JD HELENA;JARDIM HELENA;;;abreviatura
São Paulo;JD INGA;JARDIM INGA;;;abreviatura
São Paulo;JD PAULISTA;JARDIM PAULISTA;;;abreviatura
São Paulo;JD PERI PERI;JARDIM PERI PERI;;;abreviatura
São Paulo;JD SAO CARLOS;JARDIM SAO CARLOS;;;abreviatura
São Paulo;JD SAO PAULO;JARDIM SAO PAULO;;;abreviatura
São Paulo;JD SAPOPEMBA;JARDIM SAPOPEMBA;;;abreviatura
São Paulo;JD TIETE;JARDIM TIETE;;;abreviatura
São Paulo;JD VERA CRUZ;JARDIM VERA CRUZ;;;abreviatura
São Paulo;PQ NOVO MUNDO;PARQUE NOVO MUNDO;;;abreviatura
São Paulo;PQ PERUCHE;PARQUE PERUCHE;;;abreviatura
São Paulo;PQ SAO DOMINGOS;PARQUE SAO DOMINGOS;;;abreviatura
São Paulo;PQ STO ANTONIO;PARQUE STO ANTONIO;;;abreviatura
São Paulo;STO AMARO;SANTO AMARO;;;abreviatura
São Paulo;VL ARICANDUVA;VILA ARICANDUVA;;;abreviatura
São Paulo;VL LEOPOLDINA;VILA LEOPOLDINA;;;abreviatura
São Paulo;VL PARANAGUA;VILA PARANAGUA;;;abreviatura
São Paulo;VL SANTA LUCIA;VILA SANTA LUCIA;;;abreviatura
Senador Canedo;JD TODOS SANTOS;JARDIM TODOS SANTOS;;;abreviatura
Goiânia;JD AMERICA;JARDIM AMERICA;;;abreviatura
Goiânia;JD EUROPA;JARDIM EUROPA;;;abreviatura
Goiânia;PQ AMAZONIA;PARQUE AMAZONIA;;;abreviatura
Goiânia;RES ITAIPU;RESIDENCIAL ITAIPU;;;abreviatura
Goiânia;VL NOVO HORIZONTE;VILA NOVO HORIZONTE;;;abreviatura
Limeira;PQ HIPOLITO;PARQUE HIPOLITO;;;abreviatura
Carneirinho;JD PRIMAVERA;JARDIM PRIMAVERA;;;abreviatura
Jaraguá;JD AEROPORTO;JARDIM AEROPORTO;;;abreviatura
Franco da Rocha;PQ INDUSTRIAL;PARQUE INDUSTRIAL;;;abreviatura
Guarulhos;PQ DAS NACOES;PARQUE DAS NACOES;;;abreviatura
Guarulhos;VL AUGUSTA;VILA AUGUSTA;;;abreviatura
Ourinhos;JD DAS PAINEIRAS;JARDIM DAS PAINEIRAS;;;abreviatura
Ourinhos;JD MATILDE;JARDIM MATILDE;;;abreviatura
Ourinhos;JD PAULISTA;JARDIM PAULISTA;;;abreviatura
Ourinhos;JD SAO JORGE;JARDIM SAO JORGE;;;abreviatura
Lages;STA RITA;SANTA RITA;;;abreviatura
Anicuns;JD ARCO VERDE;JARDIM ARCO VERDE;;;abreviatura
Aguaí;JD SANTA URSULA;JARDIM SANTA URSULA;;;abreviatura
Magé;STO ALEIXO;SANTO ALEIXO;;;abreviatura
Juquitiba;JD DAS PALMEIRAS;JARDIM DAS PALMEIRAS;;;abreviatura
Dourados;JD INDEPENDENCIA;JARDIM INDEPENDENCIA;;;abreviatura
Dourados;JD PAULISTA;JARDIM PAULISTA;;;abreviatura
Dourados;VL PLANALTO;VILA PLANALTO;;;abreviatura
Rondonópolis;CONJ SAO JOSE I;CONJUNTO SAO JOSE I;;;abreviatura
Rondonópolis;JD ATLANTICO;JARDIM ATLANTICO;;;abreviatura
Rondonópolis;JD ESMERALDA;JARDIM ESMERALDA;;;abreviatura
Rondonópolis;JD GUANABARA;JARDIM GUANABARA;;;abreviatura
Rondonópolis;JD SANTA MARTA;JARDIM SANTA MARTA;;;abreviatura
Rio Verde;JD BELA VISTA;JARDIM BELA VISTA;;;abreviatura
Rio Verde;JD CAMPESTRE;JARDIM CAMPESTRE;;;abreviatura
Rio Verde;JD GOIAS;JARDIM GOIAS;;;abreviatura
Rio Verde;PQ BANDEIRANTES;PARQUE BANDEIRANTES;;;abreviatura
Maceió;CID UNIVERSITARIA;CIDADE UNIVERSITARIA;;;abreviatura
Araraquara;JD PINHEIROS;JARDIM PINHEIROS;;;abreviatura
São Vicente;JD GUASSU;JARDIM GUASSU;;;abreviatura
São Vicente;PQ DAS BANDEIRAS;PARQUE DAS BANDEIRAS;;;abreviatura
São Vicente;PRQ DAS BANDEIRAS;PARQUE DAS BANDEIRAS;;;abreviatura
Osasco;JD CIPAVA;JARDIM CIPAVA;;;abreviatura
Osasco;JD NOVO OSASCO;JARDIM NOVO OSASCO;;;abreviatura
Osasco;JD PIRATININGA;JARDIM PIRATININGA;;;abreviatura
Osasco;PRES ALTINO;PRESIDENTE ALTINO;;;abreviatura
Cotia;PRQ SAO GEORGE;PARQUE SAO GEORGE;;;abreviatura
Vinhedo;JD SAO MATHEUS;JARDIM SAO MATHEUS;;;abreviatura
Araruama;PQ MATARUNA;PARQUE MATARUNA;;;abreviatura
Campo Grande;JD SEMINARIO;JARDIM SEMINARIO;;;abreviatura
Americana;JD SAO JOSE;JARDIM SAO JOSE;;;abreviatura
Americana;JD SAO PAULO;JARDIM SAO PAULO;;;abreviatura
Americana;PQ GRAMADO;PARQUE GRAMADO;;;abreviatura
Lucas do Rio Verde;JD DAS PALMEIRAS;JARDIM DAS PALMEIRAS;;;abreviatura
São Caetano do Sul;STA PAULA;SANTA PAULA;;;abreviatura
Piracicaba;VL INDEPENDENCIA;VILA INDEPENDENCIA;;;abreviatura
Botucatu;JD AEROPORTO;JARDIM AEROPORTO;;;abreviatura
Maringá;JD ALVORADA;JARDIM ALVORADA;;;abreviatura
Maringá;JD TABAETE;JARDIM TABAETE;;;abreviatura
Maringá;JD UNIVERSITARIO;JARDIM UNIVERSITARIO;;;abreviatura
Aparecida de Goiânia;JD NOVA ERA;JARDIM NOVA ERA;;;abreviatura
Imperatriz;PQ ALVORADA;PARQUE ALVORADA;;;abreviatura
Imperatriz;PQ ANHANGUERA;PARQUE ANHANGUERA;;;abreviatura
Três Corações;JD ESPERANCA;JARDIM ESPERANCA;;;abreviatura
Carapicuíba;VL CRETTI;VILA CRETTI;;;abreviatura
Diadema;JD PAINEIRAS;JARDIM PAINEIRAS;;;abreviatura
Mogi Guaçu;JD NOVO II;JARDIM NOVO II;;;abreviatura
Itumbiara;JD PRIMAVERA;JARDIM PRIMAVERA;;;abreviatura
Indaiatuba;CID NOVA;CIDADE NOVA;;;abreviatura
Indaiatuba;JD MORADA DO SOL;JARDIM MORADA DO SOL;;;abreviatura
Indaiatuba;VL VITORIA;VILA VITORIA;;;abreviatura
Angra dos Reis;PQ DAS PALMEIRAS;PARQUE DAS PALMEIRAS;;;abreviatura
Ji-Paraná;JD DOS MIGRANTES;JARDIM DOS MIGRANTES;;;abreviatura
Martinópolis;JD PAULISTA;JARDIM PAULISTA;;;abreviatura
Muriaé;STA TEREZINHA;SANTA TEREZINHA;;;abreviatura
Socorro;JD ARAUJO;JARDIM ARAUJO;;;abreviatura
Nova Iguaçu;JD TROPICAL;JARDIM TROPICAL;;;abreviatura
Campinas;JD BOA ESPERANCA;JARDIM BOA ESPERANCA;;;abreviatura
Campinas;JD CAMPO BELO;JARDIM CAMPO BELO;;;abreviatura
Campinas;JD CONCEICAO;JARDIM CONCEICAO;;;abreviatura
Campinas;JD GUANABARA;JARDIM GUANABARA;;;abreviatura
Campinas;JD GUARANI;JARDIM GUARANI;;;abreviatura
Campinas;JD YEDA;JARDIM YEDA;;;abreviatura
Campinas;PQ ITALIA;PARQUE ITALIA;;;abreviatura
Campinas;PQ UNIVERSITARIO;PARQUE UNIVERSITARIO;;;abreviatura
Campinas;PRQ ALTO TAQUARAL;PARQUE ALTO TAQUARAL;;;abreviatura
Campinas;VL SAN MARTIN;VILA SAN MARTIN;;;abreviatura
Cândido Mota;JD AEROPORTO;JARDIM AEROPORTO;;;abreviatura
Fortaleza;CONJ PALMEIRAS;CONJUNTO PALMEIRAS;;;abreviatura
Fortaleza;JD DAS OLIVEIRAS;JARDIM DAS OLIVEIRAS;;;abreviatura
Monções;JD BELA VISTA;JARDIM BELA VISTA;;;abreviatura
Cambé;JD TAROBA;JARDIM TAROBA;;;abreviatura
